name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Stygian Drill,junk_pirates_welder,1,,7500,800,1000,,50,,,20,,,,FRAGMENTATION,,1200,0.5,0.5,,,,,,,2400,,,,,SHOW_IN_CODEX,"beam7, energy7, strike7",,Junk Pirates,,Heavy Industrial Cutting,Beam,,,,"Sustained fire superheats beam, scaling damage to %s.","1,800 DPS over 3s",,,,7 Large Energy
Ripsaw,pack_ripsaw,0,,1500,700,,45,,3,10,,,,,KINETIC,32,,0,0.5,4,0.1,0,10,2,9,,950,,,20,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,Anti Shield,,,,,,,,,,691901
Ripsaw (Mini),pack_mini_ripsaw,0,,1500,550,,45,,3,10,10,,,,KINETIC,32,,0,0.5,2,0.1,0,10,2,9,,950,,,20,SYSTEM,kinetic9,,,,Anti Shield,,,,,,,,,,
Typewriter,syndicate_asp_typewriter,0,,1500,550,,25,,3,80,,,,,KINETIC,20,,0,0.8,8,0.05,2,8,1,15,,800,,,30,"SYSTEM, PD, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex, pd",,,,Point Defense,,,,,,,,,,3.85
Affenpinscher,pack_affenpinscher,,,2500,650,440,,,0,50,,6,0.3,,ENERGY,,300,0.05,0.05,0.25,0.1,,,,,10000,,,,,"SYSTEM, PD, ANTI_FTR, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex, pd",,,,Point Defense,,,,,High-energy point-defense pulse beam.,,"%s to force guidance failure, engine flameout, and erratic tumbling on intercepted missiles.",50% chance,,691902
Swarmer SRM Launcher,pack_swarmer_gunship,0,,250,1000,,75,,5,50,4,,,,HIGH_EXPLOSIVE,0,,0,5,2,0.2,0,0,0,0,,300,100,5,50,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM","utility8, missile0",,,,,,,,,,,,,,10
Light Assault Gun,pack_lightag,1,,300,600,,40,,3,40,5,,,,HIGH_EXPLOSIVE,40,,0,0.25,1,,0,10,2,10,,800,,,30,"PD, PD_ALSO","he6, pd",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throb,junk_pirates_engine_throb,0,,,300,300,,,,,,,,,,,,,100,,,,,,,,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,,,,,,,,,,,60
Blinking Bay,junk_pirates_blinking_bay,0,,,300,300,,,,,,,,,,,,,100,,,,,,,,,,,,"SYSTEM, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,,,,,,,,,,,,,61
Plan-D,junk_pirates_bangpod,1,,200,1400,,1300,250,200,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,400,600,4,500,"SHOW_IN_CODEX, STRIKE","strike8, rocket3",,,,Torpedo,Fast,None,,,,,,,TRUE,62
Mag Bomb,pack_torp,0,,400,1100,,1100,300,200,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,200,400,4,500,"SHOW_IN_CODEX, STRIKE, SYSTEM","strike8, rocket3",,,,Torpedo,Medium,None,,,,,,,TRUE,63
Mini Vulcan Cannon,pack_mini_vulcan,0,,0,250,,25,,1,75,2,,,,FRAGMENTATION,1,,0,1.05,20,0.05,0,15,1,15,,800,,,10,"PD, SYSTEM","pd5,SR",,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrostatic Chaff Dispenser,junk_pirates_electrochafflauncher,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,60,60,0,0,,50,150,4,1,SYSTEM,,,,,,,,,,,,,,,ZZ System
Electrostatic Chaff Dispenser,junk_pirates_electrochafflauncher_copy,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,60,60,0,0,,50,150,4,1,SYSTEM,,,,,,,,,,,,,,,ZZ Copy System
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrostatic Shock Beam,junk_pirates_electrobeam,2,,1000,1000,166,,78,45,20,9,8,1,1,ENERGY,,190,0.1,0.1,0.25,0.1,,,,,6000,,,,,FIRE_WHEN_INEFFICIENT,"beam13, LR, junk_pirates_junkprime_bp",,Junk Pirates,,Suppression,,,,,"Hits on hull or armor occasionally arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs.",Electrostatic Chaff,,,,5 Medium Energy
Scrap Autocannon,junk_pirates_scrapcannon,0,,800,750,,250,,25,15,8,,,,FRAGMENTATION,85,,0,1.3,4,0.2,4,20,4,20,,700,,,30,,"he8, LR, junk_pirates_junk_bp",,Junk Pirates,,General,,,,,"Projectiles have a %s chance to fragment into %s particles, which may decoy or disable enemy missiles.",25% | 1-2 Electrostatic Chaff,,,,4 Medium Ballistic
Scrap Nailer,junk_pirates_scrapnailer,0,,150,700,,60,,3,40,3,,,,FRAGMENTATION,35,,0,0.4,1,,2,10,2,40,,1000,,,20,,"kinetic5, LR, junk_pirates_junk_bp",,Junk Pirates,,General,,,,,"Projectiles have a %s chance to fragment into %s particles, which may decoy or disable enemy missiles.",15% | Electrostatic Chaff,,,,1 Small Ballistic
Scrapjet Missile Rack,junk_pirates_junkjet_rack,1,,250,1200,,400,,50,30,6,12,,,ENERGY,0,,0,8,4,0.666,0,0,0,0,,600,175,5,75,DO_NOT_CONSERVE,"missile8, strike3, junk_pirates_junk_bp",,Junk Pirates,,Strike Support,Very Fast,Poor,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,3 Small Missile
Scrapjet Missile Pod,junk_pirates_junkjet_pod,1,,1200,1200,,400,,50,30,10,24,,,ENERGY,0,,0,8,4,0.666,0,0,0,0,,600,175,5,75,DO_NOT_CONSERVE,"missile13, strike9, junk_pirates_junkprime_bp",,Junk Pirates,,Strike Support,Very Fast,Poor,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,6 Medium Missile
Micro Scrapjet MLRS,junk_pirates_mlrs,,,1000,1150,,200,,50,30,,24,0.1,4,ENERGY,0,,0,4,4,0.1,0,0,0,0,,500,175,4,75,"SYSTEM, STRIKE, GUIDED_POOR, SHOW_IN_CODEX","no_drop, no_sell, show_in_codex",,Junk Pirates,,Strike Support,Very Fast,Poor,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 25% | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,6 Medium Missile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frag Scrapjet,junk_pirates_junkjet_copy_frag,1,,250,1200,,400,,50,30,4,4,,,FRAGMENTATION,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Explosive Scrapjet,junk_pirates_junkjet_copy_explosive,1,,250,1200,,400,,50,30,4,4,,,HIGH_EXPLOSIVE,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Kinetic Scrapjet,junk_pirates_junkjet_copy_kinetic,1,,250,1200,,400,,50,30,4,4,,,KINETIC,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Plasma Scrapjet,junk_pirates_junkjet_copy_energy,1,,250,1200,,400,,50,30,4,4,,,ENERGY,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Ion Scrapjet,junk_pirates_junkjet_copy_emp,1,,250,1200,,400,1000,50,30,4,4,,,ENERGY,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frag Micro Scrapjet,junk_pirates_micro_junkjet_copy_frag,1,,250,1200,,200,,25,30,4,4,,,FRAGMENTATION,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Explosive Micro Scrapjet,junk_pirates_micro_junkjet_copy_explosive,1,,250,1200,,200,,25,30,4,4,,,HIGH_EXPLOSIVE,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Kinetic Micro Scrapjet,junk_pirates_micro_junkjet_copy_kinetic,1,,250,1200,,200,,25,30,4,4,,,KINETIC,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Plasma Micro Scrapjet,junk_pirates_micro_junkjet_copy_energy,1,,250,1200,,200,,25,30,4,4,,,ENERGY,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
Ion Micro Scrapjet,junk_pirates_micro_junkjet_copy_emp,1,,250,1200,,200,500,25,30,4,4,,,ENERGY,0,,0,1.3,1,,0,0,0,0,,600,175,5,75,"SYSTEM, DO_NOT_CONSERVE",,,,,,,,,,"Missiles carry randomly selected warheads dealing %s, %s, %s, %s, or %s damage and fragment into %s particles, which may decoy or disable enemy missiles.",Fragmentation | High Explosive | Kinetic | Energy | EMP | 2-3 Electrostatic Chaff,"%s warhead hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage and consuming nearby %s for additional arcs. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",EMP | Electrostatic Chaff,,ZZ Copy Projectile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boxer deco1,junk_pirates_boxer_deco1,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco2,junk_pirates_boxer_deco2,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
kraken deco1,junk_pirates_kraken_deco1,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco3,junk_pirates_boxer_deco3,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco4,junk_pirates_boxer_deco4,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco5,junk_pirates_boxer_deco5,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco6,junk_pirates_boxer_deco6,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer deco7,junk_pirates_boxer_deco7,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer_blue deco1,junk_pirates_boxer_blue_deco1,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer_blue deco2,junk_pirates_boxer_blue_deco2,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer_blue deco3,junk_pirates_boxer_blue_deco3,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
boxer_blue deco6,junk_pirates_boxer_blue_deco6,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
mastiff deco1,junk_pirates_mastiff_deco1,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
mastiff deco2,junk_pirates_mastiff_deco2,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
goat deco1,junk_pirates_goat_deco1,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
goat deco2,junk_pirates_goat_deco2,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
dugong deco1,junk_pirates_dugong_deco1,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
dugong deco2,junk_pirates_dugong_deco2,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
dugong deco3,junk_pirates_dugong_deco3,0,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,SYSTEM,"no_drop, no_sell",,,,,,,,,,,,,,
Viper Pulse Cannon,syndicate_asp_viper,1,,5000,900,,250,100,,,0,,,,ENERGY,285,,0.5,2.2,5,0.1,,,,,,1500,,,,SYSTEM,energy7,,ASP Syndicate,,Heavy Assault,,,,,Fires a devastating 5-round burst of high-velocity violet plasma.,5-Round Burst,,,,1 Built-In
Tactical Laser (Fighter),syndicate_asp_taclaser_f,1,,200,600,75,,,0,50,0,,,,ENERGY,,60,0.1,0.1,,,,,,,2400,,,,,,SYSTEM,,ASP Syndicate,,General,,,,,,,,,,691903
