name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Stoat (B Variant),junk_pirates_stoatB,Light Freighter,Junk Pirates,burndrive,2,1900,50,1200,1250,100,25,,130,80,80,40,30,300,NONE,,,,,,,4,12,120,30,1,60,9,5500,10,10,180,0.25,2,2,"CIVILIAN, FREIGHTER",junk_pirates_junk_bp,,0.75,2,3,321613
Stoat (A Variant),junk_pirates_stoatA,Light Freighter,Junk Pirates,burndrive,2,1900,50,1200,1250,100,25,,130,80,80,40,30,300,NONE,,,,,,,4,12,120,30,1,60,9,5500,10,10,180,0.25,2,2,"CIVILIAN, FREIGHTER",junk_pirates_junk_bp,,0.75,2,3,321612
Wirefox,pack_wirefox,Frigate,P.A.C.K.,maneuveringjets,5,1350,280,2000,2375,180,45,,165,50,50,70,70,300,OMNI,,140,0.4,1,,,20,50,25,20,1,50,10,16000,10,20,180,0.25,5,5,,"junk_pirates_pack_bp, junk_hounds",,0.6,2,2,691003
Wirefox (SH),pack_wirefox_sh,Shuttle,P.A.C.K.,flarelauncher,4,1200,155,1800,2375,160,40,,155,95,85,110,150,280,FRONT,,120,0.2,0.8,,,15,60,40,40,1,50,10,9000,10,10,180,0.25,4,4,,"junk_pirates_pack_bp, junk_boys",,0.5,2,2,691045
Bedlington,pack_bedlington,Frigate,P.A.C.K.,canister_flak,5,1200,250,1800,3250,240,30,1,180,110,110,110,140,300,OMNI,,120,0.4,1,,,20,45,25,20,1,50,10,18000,10,20,180,0.25,5,5,,"junk_pirates_pack_bp, junk_hounds",,0.6,2,2,691090
Samoyed,pack_samoyed,Combat Freighter,P.A.C.K.,burndrive,4,1500,250,1700,2500,180,35,,140,45,35,35,45,400,OMNI,,120,0.4,1,,,15,55,85,40,1,40,10,13000,12,20,140,0.25,4,4,,"junk_pirates_pack_bp, junk_boys",,0.6,2,2,691007
Samoyed (Base),pack_samoyed_decoupled,Combat Freighter,P.A.C.K.,burndrive,3,1450,240,1700,2500,180,35,,160,100,100,100,100,200,OMNI,,120,0.4,1,,,15,55,15,10,1,20,10,12000,12,20,140,0.25,3,3,,"junk_pirates_pack_bp, junk_hounds",,0.6,2,2,691009
Schnauzer,pack_schnauzer,Frigate,P.A.C.K.,maneuveringjets,5,1250,220,1800,4250,220,50,,180,120,75,75,80,300,OMNI,,140,0.35,0.9,,,20,35,15,30,1,35,10,18000,10,20,240,0.25,5,5,,junk_pirates_packprime_bp,,0.6,2,2,691012
Diamondback,syndicate_asp_diamondback,Combat Freighter,ASP Syndicate,flarelauncher_active,4,1500,145,2500,1563,125,45,,195,110,75,80,80,325,OMNI,,120,0.4,0.8,,,25,50,80,40,1,65,10,15000,10,15,180,0.25,4,4,,junk_pirates_asp_bp,,0.4,2,2,991001
Diamondback (F),syndicate_asp_diamondback_p,Frigate,ASP Syndicate (Familia),maneuveringjets,5,1600,155,2750,,125,50,,195,110,75,80,80,325,OMNI,,120,0.4,0.8,,,25,50,20,30,1,65,10,18000,10,15,180,0.25,5,5,,junk_pirates_familia_bp,0.5,0.4,2,2,
Tangerine,junk_pirates_tangerine,Frigate,Junk Pirates,junk_pirates_burst_jets,10,2000,275,3250,,240,55,,170,100,75,85,95,350,OMNI,,160,0.2,0.8,,,20,25,20,40,2,20,10,26000,10,25,160,0.25,10,10,,"rare_bp, junk_pirates_junkprime_bp",0.5,0.4,2,2,991001
Tangerine (Blue),junk_pirates_tangerine_blue,Frigate,Junk Pirates,junk_pirates_burst_jets,11,2000,275,3750,,260,55,,180,110,75,85,95,350,OMNI,,240,0.2,0.9,,,20,25,20,40,2,20,10,55000,10,30,120,0.25,11,11,,"rare_bp, junk_pirates_junkprime_bp",,0.4,2,2,991001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopus,junk_pirates_octopus,Carrier,Junk Pirates,junk_pirates_electrochafflauncher,12,4500,650,3200,4167,220,75,2,50,45,25,25,20,600,NONE,,,,,,,95,165,300,200,4,50,8,60000,5,12,420,0.25,12,12,"CARRIER, SHIP_WITH_MODULES","junk_pirates_junk_bp, junk_boys",,0.75,2,4,321602
Boxenstein,junk_pirates_boxenstein,Destroyer,Junk Pirates,maneuveringjets,10,3800,850,6000,5833,350,95,,50,20,15,35,25,500,FRONT,,210,0.5,1,,,75,85,55,14,14,55,8,50000,5,20,420,0.25,10,10,,junk_pirates_junkprime_bp,,0.3,2,3,321608
Boxer,junk_pirates_boxer,Destroyer,Junk Pirates,maneuveringjets,9,4800,800,4500,5417,325,85,,60,25,15,45,25,420,FRONT,,210,0.6,1,,,35,45,50,12,12,50,8,45000,5,20,420,0.25,9,9,,junk_pirates_junk_bp,,0.3,2,3,321607
Langoustine,junk_pirates_langoustine,Destroyer,Junk Pirates,highenergyfocus,13,3500,400,4800,7500,350,90,1,105,65,40,85,65,580,FRONT,,120,0.4,0.8,,,45,65,40,60,2,50,9,60000,5,20,180,0.25,13,13,,junk_pirates_junkprime_bp,,0.5,2,4,321614
Satsuma,junk_pirates_satsuma,Destroyer,Junk Pirates,junk_pirates_burst_jets,11,3500,400,4500,7500,320,85,,95,115,40,75,65,580,OMNI,,100,0.2,1,,,45,65,80,50,2,50,9,40000,5,20,180,0.25,11,11,,junk_pirates_junkprime_bp,,0.5,2,3,321614
Scythe,junk_pirates_scythe,Destroyer,Junk Pirates,junk_pirates_electrochafflauncher,8,3800,450,4500,7500,320,65,,115,85,65,95,85,320,OMNI,,110,0.5,0.9,,,25,75,120,80,2,33,9,35000,4,20,240,0.25,8,8,,junk_pirates_junk_bp,,0.6,2,3,321615
Turbot,junk_pirates_turbot,Destroyer,Junk Pirates,junk_pirates_interdictor,12,3000,500,5800,3333,200,70,1,85,110,110,25,25,450,PHASE,phasecloak,,,,0.05,0.05,75,85,50,90,2,60,9,60000,4,25,210,0.25,12,12,,"rare_bp, junk_technicians, junk_pirates_junkprime_bp",,0.6,2,3,321618
Ridgeback,pack_ridgeback,Combat Freighter,P.A.C.K.,pack_ridgeback_drive,9,2300,650,4200,4333,230,85,1,80,70,70,120,140,600,OMNI,,140,0.4,1.15,,,75,160,160,80,2,50,9,38000,6,18,180,0.25,9,9,,"junk_pirates_pack_bp, junk_boys",,0.5,2,3,691001
Ridgeback X,pack_ridgeback_x,Destroyer,P.A.C.K.,pack_ridgeback_drive,10,2400,750,5000,4667,280,75,1,85,75,75,125,145,550,OMNI,,160,0.4,1,,,45,90,90,70,2,35,9,36000,6,18,180,0.25,10,10,,"rare_bp, junk_hounds, junk_pirates_packprime_bp",,0.5,2,3,691002
Pitbull,pack_pitbull,Destroyer,P.A.C.K.,maneuveringjets,8,3200,850,4200,4833,280,75,,60,90,90,70,90,600,OMNI,,150,0.4,0.9,,,25,40,35,40,2,50,8,38000,6,15,180,0.25,8,8,,"junk_pirates_packprime_bp, junk_hounds",,0.4,2,3,691005
BRT,pack_BRT,Destroyer,P.A.C.K.,maneuveringjets,8,3000,750,4200,4000,230,80,,80,60,80,55,60,600,OMNI,,140,0.4,1,,,60,120,80,60,2,40,9,38000,6,20,420,0.25,8,8,,"junk_pirates_pack_bp, junk_boys",,0.5,2,3,691006
BRT (CB),pack_BRT_canebianco,Destroyer,P.A.C.K.,maneuveringjets,9,3000,650,6000,4000,280,90,1,80,60,80,55,60,600,OMNI,,140,0.4,1,,,60,120,80,60,2,40,9,50000,6,20,420,0.25,9,9,,"rare_bp, junk_technicians, junk_pirates_packprime_bp",0.5,0.5,2,3,
Komondor,pack_komondor,Destroyer,P.A.C.K.,pack_tri_overcharge,14,4200,650,4200,5667,275,80,,75,75,75,65,65,600,FRONT,,140,0.4,1.0,,,75,120,60,60,2,35,9,48000,6,20,180,0.25,14,14,,"junk_pirates_packprime_bp, junk_hounds",,0.6,2,3,691008
Labrador,pack_labrador,Destroyer,P.A.C.K.,burndrive,7,4200,550,5000,5667,300,50,1,75,75,75,65,65,600,FRONT,,160,0.4,0.9,,,75,120,180,100,2,35,9,33000,6,15,240,0.25,7,7,"CIVILIAN, FREIGHTER",junk_pirates_pack_bp,,0.4,2,3,691011
GFB,pack_GFB,Combat Carrier,P.A.C.K.,pack_keflusker,12,4200,650,5000,5667,260,85,2,70,75,75,65,65,600,OMNI,,140,0.4,1,,,75,120,80,100,2,35,9,45000,6,15,240,0.25,12,12,"CARRIER, COMBAT",junk_pirates_packprime_bp,,0.4,2,3,
Shar Pei,pack_sharpei,Destroyer,P.A.C.K.,pack_skimmer,8,4800,750,4800,4667,280,90,,75,75,85,65,65,550,OMNI,,180,0.5,1.1,,,45,65,40,40,2,40,9,36000,5,20,240,0.25,8,8,,"junk_pirates_packprime_bp, junk_boys",,0.75,2,4,691010
Shar Pei (CB),pack_sharpei_canebianco,Destroyer,P.A.C.K.,flarelauncher_active,12,4800,750,6200,4667,280,100,,75,75,85,65,65,550,PHASE,phasecloak,,,,0.05,0.05,45,65,40,40,2,40,9,70000,5,25,240,0.25,12,12,,"junk_pirates_packprime_bp, junk_technicians",0.5,0.75,2,4,691019
Copperhead,syndicate_asp_copperhead,Combat Carrier,ASP Syndicate,targetingfeed,10,4200,400,5000,3333,250,105,2,80,40,40,40,30,1000,OMNI,,120,0.4,0.8,,,50,150,350,150,3,50,8,80000,5,15,180,0.25,10,10,"CARRIER, COMBAT",junk_pirates_asp_bp,,0.5,2,3,991002
Copperhead (F),syndicate_asp_copperhead_p,Light Cruiser,ASP Syndicate (Familia),plasmajets,16,5500,550,8000,3333,350,140,,90,40,40,40,40,1200,OMNI,,180,0.4,0.8,,,50,150,200,80,3,30,8,120000,5,15,180,0.25,16,16,,junk_pirates_familia_bp,0.5,0.5,2,3,
Spinone,pack_spinone,Carrier,P.A.C.K.,pack_trilat_algorithms,22,6500,650,9000,4167,350,95,3,60,35,15,25,20,1350,FRONT,,300,0.2,1,,,180,350,180,80,3,40,8,110000,5,15,420,0.25,22,22,"CARRIER, COMBAT","junk_pirates_pack_bp, junk_boys, junk_hounds",,0.75,2,4,
Hognose,syndicate_asp_hognose,Light Carrier,ASP Syndicate,reservewing,8,3800,375,3500,4167,250,80,2,75,40,15,30,20,600,OMNI,,180,0.2,0.8,,,40,120,180,80,2,40,9,32000,5,15,300,0.25,8,8,CARRIER,junk_pirates_asp_bp,,0.75,2,4,
Hognose (F),syndicate_asp_hognose_p,Light Combat Carrier,ASP Syndicate (Familia),maneuveringjets,10,4000,450,3750,,275,90,2,85,50,40,30,45,600,FRONT,,240,0.4,0.8,,,45,65,180,80,2,40,9,48000,5,10,180,0.25,10,10,"CARRIER, COMBAT",junk_pirates_familia_bp,0.5,0.75,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugong,junk_pirates_dugong,Cruiser,Junk Pirates,ammofeed,18,7000,800,8500,9000,450,145,,60,40,15,25,25,1200,OMNI,,140,0.2,1,,,65,75,60,200,3,90,8,110000,4,10,420,0.25,18,18,,junk_pirates_junk_bp,,0.6,2,3,321606
Orcenstein,junk_pirates_orcenstein,Cruiser,Junk Pirates,junk_pirates_cruiser_burst_jets,24,8500,1000,10000,10000,500,150,,35,45,25,20,20,2100,FRONT,,210,0.35,1,,,125,275,120,100,4,60,8,120000,3,20,480,0.25,24,24,,junk_pirates_junkprime_bp,,0.5,2,3,321616
Jackdaw,junk_pirates_jackdaw,Light Cruiser,Junk Pirates,junk_pirates_cruiser_burst_jets,16,7000,800,9000,9000,500,120,,65,50,30,30,25,1200,OMNI,,140,0.2,0.95,,,55,65,40,100,3,90,8,105000,4,16,480,0.25,16,16,,junk_pirates_junkprime_bp,,0.5,2,3,321606
Goat,junk_pirates_goat,Cruiser,Junk Pirates,highenergyfocus,20,8000,950,10500,10000,500,130,1,60,45,35,25,25,1800,FRONT,,220,0.5,0.8,,,125,275,300,150,3,60,8,130000,4,15,480,0.25,20,20,,junk_pirates_junkprime_bp,,0.4,2,3,321616
Magpie,junk_pirates_magpie,Cruiser,Junk Pirates,junk_pirates_cruiser_burst_jets,22,6500,700,11000,16000,550,155,,55,40,25,25,20,1200,FRONT,,170,0.2,1,,,75,85,100,100,5,40,8,120000,5,25,480,0.25,22,22,,"rare_bp, junk_pirates_junkprime_bp",,0.7,2,4,321622
Mastiff,pack_mastiff,Cruiser,P.A.C.K.,maneuveringjets,18,8000,850,9000,8000,500,155,,60,50,35,30,35,1200,FRONT,,200,0.4,0.95,,,120,300,120,100,3,40,8,115000,6,20,420,0.25,18,18,,"junk_pirates_pack_bp, junk_boys, junk_hounds",,0.4,2,3,691011
Bully Kutta,pack_bullykutta,Missile Cruiser,P.A.C.K.,fastmissileracks,18,8500,1000,6000,9000,300,150,,35,40,15,25,25,2000,OMNI,,140,0.35,0.8,,,200,500,200,200,5,40,7,125000,4,15,480,0.25,18,18,,"junk_pirates_packprime_bp, junk_hounds",,0.4,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigantophis,syndicate_asp_gigantophis,Combat Carrier,ASP Syndicate,targetingfeed,22,10000,750,13000,,450,155,3,55,10,10,10,10,2500,FRONT,,300,0.2,0.8,,,250,800,800,250,4,100,8,200000,5,20,540,0.25,22,22,CARRIER,junk_pirates_asp_bp,,0.7,2,4,991003
Gigantophis (F),syndicate_asp_gigantophis_p,Combat Carrier,ASP Syndicate (Familia),maneuveringjets,24,10000,750,13000,,550,170,2,60,20,20,20,10,2500,FRONT,,240,0.4,0.8,,,250,800,250,150,4,100,8,325000,5,20,540,0.25,24,24,"CARRIER, COMBAT",junk_pirates_familia_bp,0.5,0.7,2,4,991003
Orca,junk_pirates_orca,Heavy Carrier,Junk Pirates,junk_pirates_mason_refractor,34,13500,1150,15000,9375,650,220,4,35,30,25,20,20,2800,FRONT,,250,0.35,0.8,,,80,260,350,400,10,40,7,300000,2,12,600,0.25,34,34,"CARRIER, COMBAT","rare_bp, junk_pirates_junkprime_bp",,0.5,2,4,321610
Kraken,junk_pirates_kraken,Battleship,Junk Pirates,junk_pirates_kraken_retreat,35,14000,1250,15000,18750,750,300,1,45,15,15,10,5,3500,FRONT,,220,0.3,0.8,,,350,450,400,200,15,40,7,325000,3,15,660,0.25,35,35,,"rare_bp, junk_pirates_junkprime_bp",,0.5,2,5,321617
The Reaper,junk_pirates_the_reaper,Constructor,Junk Pirates,junk_pirates_heavy_burst_jets,32,18000,1400,12000,11250,800,220,3,50,15,15,15,15,3000,PHASE,junk_pirates_damper,0,0,0,,,300,450,450,300,10,30,6,280000,5,30,600,0.25,32,32,"CARRIER, COMBAT","rare_bp, junk_pirates_junkprime_bp",,0.6,2,5,312619
Bulldog,pack_bulldog,Battleship,P.A.C.K.,pack_alpha_call,32,10000,1050,15000,18750,820,245,2,55,40,40,20,10,3000,OMNI,,120,0.2,0.8,,,450,800,300,300,10,30,7,300000,3,12,660,0.25,32,32,,"junk_hounds, rare_bp, junk_pirates_packprime_bp",,0.5,2,4,321699
Bulldog (BE),pack_bulldog_bullseye,Battleship,P.A.C.K.,pack_alpha_call,36,10000,1150,17000,18750,900,265,,45,20,15,20,15,3000,OMNI,,120,0.2,0.8,,,450,800,300,300,10,30,7,520000,3,12,660,0.25,36,36,,"no_autofit, unlearnable, no_drop",0.5,0.75,2,5,321700
King Cobra,syndicate_asp_kingcobra,Explorer,ASP Syndicate,highenergyfocus,32,13000,950,17000,18750,1050,300,4,40,20,15,20,10,3000,OMNI,,220,0.2,0.8,,,450,1000,600,400,6,67,7,330000,3,12,660,0.25,32,32,"CARRIER, COMBAT","rare_bp, junk_pirates_asp_bp",,0.5,2,4,
King Cobra (F),syndicate_asp_kingcobra_p,Battleship,ASP Syndicate (Familia),maneuveringjets,38,15000,1025,22000,,1100,320,3,50,25,20,25,20,3000,OMNI,,240,0.2,0.8,,,400,625,200,200,10,10,7,425000,3,15,720,0.25,38,38,"CARRIER, COMBAT, ALWAYS_PANIC",junk_pirates_familia_bp,0.5,0.5,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,pack_anarchist_station1,Orbital Station,,,100,40000,1600,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
Orbital Station,pack_anarchist_station2,Orbital Station,,,100,40000,1600,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack_bastion1,Support Bastion,,,1,7500,1000,7000,,500,1000,,0,0,0,10,10,300,FRONT,,120,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_minimal_supportL,Hangar Module,,,1,7500,750,7000,,400,1000,2,0,0,0,10,10,300,FRONT,,90,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_minimal_supportR,Hangar Module,,,1,7500,750,7000,,400,1000,2,0,0,0,10,10,300,FRONT,,90,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_partial_supportL,Light Support Module,,,1,10000,1000,9000,,600,1000,2,0,0,0,10,10,300,FRONT,,90,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_partial_supportR,Light Support Module,,,1,10000,1000,9000,,600,1000,2,0,0,0,10,10,300,FRONT,,90,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_semi_broadsideModuleL,Station Battery,,,1,15000,1100,12000,,800,1000,,0,0,0,10,10,300,FRONT,,120,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_small_missile1,Support Emplacement,,,1,7000,750,8000,,300,1000,,0,0,0,10,10,300,FRONT,,120,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,pack_small_ballistic1,Gun Emplacement,,,1,7000,750,8000,,400,1000,,0,0,0,10,10,300,FRONT,,120,0.6,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
Shield Module,junk_pirates_shield_module,Shield Module,Junk Pirates,,1,3500,600,7500,,400,1,,0,0,0,10,10,300,FRONT,,280,0.5,0.8,,,0,0,0,0,1,0,,10,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinerette,junk_pirates_spinerette_base,Megastructure,,,100,40000,1600,1000,2500,100,0,,30,30,30,15,10,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX",junk_pirates_losttech,,0,,,
,junk_pirates_spinerette_mandible_shield_r,Spinerette Mandible,,,1,2500,650,7000,,500,0,,0,0,0,10,10,300,FRONT,,140,1,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_mandible_shield_l,Spinerette Mandible,,,1,2500,650,7000,,500,0,,0,0,0,10,10,300,FRONT,,140,1,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_arm_l,Spinerette Arm,,junk_pirates_delay_emp,1,4000,450,7000,,400,90,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_arm_r,Spinerette Arm,,junk_pirates_delay_emp,1,4000,450,7000,,400,90,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_nodule,Spinerette Nodule,,,1,4000,650,7000,,500,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_extruder,Spinerette Extruder,,,1,4000,650,11000,,500,0,3,0,0,0,10,10,300,FRONT,,120,0.6,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
